stanza_lemma,stanza_upos,wordform,action,lemma,upos,note
продиковать,VERB,,replace,продиктовать,VERB,
слепать,VERB,,replace,слепить,VERB,
внесрить,VERB,,replace,внедрить,VERB,
оживлеть,VERB,,replace,оживить,VERB,
дочествать,VERB,,replace,дочитывать,VERB,
лепать,VERB,,replace,лепить,VERB,
полезти,VERB,,replace,полезть,VERB,
переглядывать,VERB,,replace,переглядываться,VERB,
обновлить,VERB,,replace,обновить,VERB,
погребить,VERB,,replace,погрести,VERB,
промократь,VERB,,replace,промокнуть,VERB,
промочь,VERB,,replace,промокнуть,VERB,«промокла»
возобновиеть,VERB,,replace,возобновить,VERB,
клюсти,VERB,,replace,клевать,VERB,
дерать,VERB,,replace,дёргаться,VERB,«дёргается»
прокруть,VERB,,replace,прокрутить,VERB,
налеть,VERB,,replace,налить,VERB,
протрить,VERB,,replace,протереть,VERB,
протрать,VERB,,replace,протереть,VERB,
пришлить,VERB,,replace,прислать,VERB,
поврежить,VERB,,replace,повредить,VERB,
подсыть,VERB,,replace,подсыпать,VERB,
обомнить,VERB,,replace,обмять,VERB,
сформать,VERB,,replace,сформовать,VERB,
срежать,VERB,,replace,срезать,VERB,
собердуться,VERB,,replace,собраться,VERB,
скить,VERB,,replace,скинуть,VERB,
подить,VERB,,replace,подать,VERB,«подам»
пригаться,VERB,,replace,пригнуться,VERB,
укросться,VERB,,replace,укрыться,VERB,
высыть,VERB,,replace,высыпать,VERB,
провазти,VERB,,replace,проверить,VERB,
вдать,VERB,,replace,вдавить,VERB,
прибять,VERB,,replace,прибить,VERB,
ришовать,VERB,,replace,рисовать,VERB,
дселять,VERB,,replace,подселять,VERB,
плесать,VERB,,replace,плескать,VERB,
замотить,VERB,,replace,замочить,VERB,
размотить,VERB,,replace,размочить,VERB,
скорбить,VERB,,replace,скорбеть,VERB,
сочесться,VERB,,replace,счесться,VERB,
сорыться,VERB,,replace,сорваться,VERB,
хоротать,VERB,,replace,хохотать,VERB,
улязаться,VERB,,replace,улечься,VERB,
подбереть,VERB,,replace,подобрать,VERB,
подколить,VERB,,replace,подколоть,VERB,
встанить,VERB,,replace,встать,VERB,
загонить,VERB,,replace,загнать,VERB,
ночовать,VERB,,replace,ночевать,VERB,
прокипять,VERB,,replace,прокипятить,VERB,
испекать,VERB,,replace,испечь,VERB,
растегнуть,VERB,,replace,расстегнуть,VERB,spelling
закопчить,VERB,,replace,закоптить,VERB,
пебть,VERB,,replace,петь,VERB,
покинить,VERB,,replace,покинуть,VERB,
верниться,VERB,,replace,вернуться,VERB,
ловь,VERB,,replace,ловить,VERB,«Ловлю на слове»
ловля,VERB,,replace,ловить,VERB,«ловлю»
смортить,VERB,,replace,сморщить,VERB,
глодеть,VERB,,replace,глохнуть,VERB,
сердаться,VERB,,replace,сердиться,VERB,
колеть,VERB,,replace,колоть,VERB,«колет»
пододить,VERB,,replace,подождать,VERB,
наутиться,VERB,,replace,научиться,VERB,
принотать,VERB,,replace,приносить,VERB,
взрыться,VERB,,replace,взорваться,VERB,
иблкать,VERB,,replace,щёлкать,VERB,
жужить,VERB,,replace,жужжать,VERB,
взреять,VERB,,replace,взбить,VERB,
смать,VERB,,replace,смазать,VERB,
растекться,VERB,,replace,растечься,VERB,
переворачить,VERB,,replace,переворачивать,VERB,
мерзти,VERB,,replace,мёрзнуть,VERB,
сповать,VERB,,replace,спеть,VERB,
разаться,VERB,,replace,разуться,VERB,
терыть,VERB,,replace,тереть,VERB,«трут»
треблять,VERB,,replace,потреблять,VERB,
созванивать,VERB,,replace,созваниваться,VERB,
сложать,VERB,,replace,сложить,VERB,
разберать,VERB,,replace,разобрать,VERB,
пекать,VERB,,replace,печь,VERB,«пеку»
зависти,VERB,,replace,зависнуть,VERB,«завис»
чести,VERB,,replace,чесаться,VERB,«чешутся»
закрути,VERB,,replace,закрутить,VERB,imperative as lemma
прикрути,VERB,,replace,прикрутить,VERB,imperative as lemma
класть,NOUN,,replace,класть,VERB,«клади»
поросль,VERB,,replace,порасти,VERB,«поросли лесом»
повести,NOUN,,replace,повесть,NOUN,«повести»
поверь,NOUN,,replace,поверье,NOUN,«поверью»
чуть,NOUN,,replace,чутьё,NOUN,«чутьё»
уважать,ADJ,,replace,уважаемый,ADJ,
управлять,ADJ,,replace,управляющий,ADJ,
дозволить,ADJ,,replace,дозволенный,ADJ,
сопутствовать,ADJ,,replace,сопутствующий,ADJ,
предполагать,ADJ,,replace,предполагаемый,ADJ,
пугать,ADJ,,replace,пугающий,ADJ,
пережить,ADJ,,replace,пережитый,ADJ,
начинать,ADJ,,replace,начинающий,ADJ,
быть,ADJ,,replace,бывший,ADJ,
блестеть,ADJ,,replace,блестящий,ADJ,
лысеть,ADJ,,replace,лысеющий,ADJ,
подходить,ADJ,,replace,подходящий,ADJ,
быстрорать,VERB,,replace,быстрорастущий,ADJ,
недоказать,VERB,,replace,недоказанный,ADJ,
общеустановить,VERB,,replace,общеустановленный,ADJ,
слабовить,VERB,,replace,слабовидящий,NOUN,substantive
привередлить,VERB,,replace,привередливый,ADJ,short form
застенчить,VERB,,replace,застенчивый,ADJ,short form
кисловатый,VERB,,replace,кисловатый,ADJ,short form
сытый,VERB,,replace,сытый,ADJ,
жаропонижающее,VERB,,replace,жаропонижающий,ADJ,
доступный,VERB,,replace,доступный,ADJ,short form
заметный,VERB,,replace,заметный,ADJ,short form
показательный,VERB,,replace,показательный,ADJ,short form
обеденный,VERB,,replace,обеденный,ADJ,not a participle
основополагающий,VERB,,replace,основополагающий,ADJ,not a participle
семьдесят,ADV,,replace,семьдесят,NUM,
навынос,NOUN,,replace,навынос,ADV,
напоказ,NOUN,,replace,напоказ,ADV,
босиком,NOUN,,replace,босиком,ADV,
итого,NOUN,,replace,итого,ADV,
полдня,ADV,,replace,полдня,NOUN,
электрический,NOUN,,replace,электрический,ADJ,all-caps heading
посетитель,ADJ,,replace,посетитель,NOUN,all-caps heading
кое-что,NOUN,,replace,кое-что,PRON,
не,VERB,,replace,не,PART,
парикмахерская,ADJ,,replace,парикмахерская,NOUN,
булочная,ADJ,,replace,булочная,NOUN,
ванный,NOUN,,replace,ванная,NOUN,
кривая,ADJ,,replace,кривой,ADJ,
наличные,ADJ,,replace,наличные,NOUN,«наличными»
мокрый,ADV,,replace,мокро,ADV,
платный,ADV,,replace,платно,ADV,
маяковский,ADJ,,replace,маяковская,PROPN,metro station
блоггер,NOUN,,replace,блогер,NOUN,spelling
осы,NOUN,,replace,оса,NOUN,plural as lemma
молекулярный,ADV,,replace,молекулярно,ADV,
